symptom,disease
Abdominal pain,Bowel Cancer
Abdominal pain,Constipation
Abdominal pain,Typhoid fever
Abdominal pain,Gluten Intolerance
Abdominal pain,Ulcerative colitis
Abdominal pain,Henoch-Schonlein purpura
Abdominal pain,Crohn's disease
Abdominal pain,Irritable bowel syndrome
Abdominal pain after eating,Irritable bowel syndrome
Abdominal pain after eating,Lactose intolerance
Abdominal pain after eating,Gallstone
Abdominal pain after eating,Acid reflux
Abdominal pain spreading to shoulder blade,Inflammation of pancreas
Abdominal pain spreading to shoulder blade,Acute cholecystitis
Abdominal pain worse on coughing,Acute cholecystitis
Abdominal pain worse on coughing,Appendicitis
Abdominal pain worse on coughing,Diverticulitis
Abdominal pain worse on coughing,Inflammation of pancreas
Aching muscles all over body,Chronic fatigue syndrome
Aching muscles all over body,Malaria
Aching muscles all over body,Fibromyalgia
Aching muscles all over body,Peripheral Artery Disease
Aching muscles all over body,Polymyalgia rheumatica
Aching muscles all over body,Glandular Fever
Affected joint feels warm,Bacterial arthritis
Affected joint feels warm,Gout
Anal lump,Anal Cancer
Anal lump,Piles
Anxiety,Fear of open spaces
Anxiety,Anxiety
Anxiety,Panic disorder
Anxiety,Claustrophobia
Anxiety,PTSD
Back pain,Inflammation of pancreas
Back pain,Back pain
Back stiffness,Back pain
Back stiffness,Ankylosing spondylitis
Bleeding between periods,Carcinoma of cervix
Bleeding between periods,Endometrial Cancer
Bleeding between periods,Ectopic pregnancy
Bleeding between periods,Endometriosis
Bleeding between periods,Vaginal Cancer
Bleeding between periods,Chlamydia
Bleeding between periods,Pelvic Inflammatory Disease
Blistering rash,Impetigo
Blistering rash,Chickenpox
Blistering rash,Shingles
"Blisters on chest, abdomen or back",Chickenpox
"Blisters on chest, abdomen or back",Shingles
Bloated stomach,Liver cancer
Bloated stomach,Premenstrual tension syndrome
Bloated stomach,Irritable bowel syndrome
Bloated stomach,Diverticulitis
Bloated stomach,Ovarian cyst
Bloated stomach,Systemic sclerosis
Bloated stomach,Ovarian Cancer
Bloated stomach,Stomach Cancer
Bloated stomach,Gluten Intolerance
Bloated stomach,Lactose intolerance
Blocked nose,Allergic rhinitis
Blocked nose,Roseola
Blocked nose,Croup
Blocked nose,Bronchiolitis
Blocked nose,Inflammation of the nose
Blocked nose,Fifth Disease
Blocked nose,Hay fever
Blocked nose,Sinusitis
Blocked nose,Cold
Blocked nose,Nasopharyngeal cancer
Blood in stool or poo,Anal Cancer
Blood in stool or poo,Bowel Cancer
Blood in stool or poo,Anal ulcer or blister
Blood in stool or poo,Piles
Blood in stool or poo,Anal fistula
Blood in stool or poo,Diverticulitis
Bloody diarrhoea,Crohn's disease
Bloody diarrhoea,Ulcerative colitis
Blurred vision,Uveitis
Blurred vision,Subarachnoid haemorrhage
Blurred vision,Retinal detachment
Blurred vision,Congenital cataract
Blurred vision,Exudative age-related macular degeneration
Blurred vision,Cataract
Blurred vision,Glaucoma
Blurred vision,High pressure headache
Blurred vision,Carcinoma in situ of eye
Breast pain,Cyclical breast pain
Breast pain,Breast abscess
Breast pain,Infection of the breast
Breast pain,Premenstrual tension syndrome
Burning pain in chest or upper abdomen,Achalasia
Burning pain in chest or upper abdomen,Peptic ulcer
Burning pain in chest or upper abdomen,Systemic sclerosis
Burning pain in chest or upper abdomen,Oesophageal Cancer
Burning pain in chest or upper abdomen,Acid reflux
Burning pain in chest or upper abdomen,Stomach Cancer
Buttock pain,Shooting pain down back of leg
Buttock pain,Ankylosing spondylitis
Change in bowel habit,Irritable bowel syndrome
Change in bowel habit,Crohn's disease
Change in bowel habit,Ulcerative colitis
Change in bowel habit,Bowel Cancer
Change in bowel habit,Diverticulitis
Change of voice,Epiglottitis
Change of voice,Laryngeal Cancer
Change of voice,Laryngitis
Change of voice,Croup
Change of voice,Tonsillitis
Change of voice,Nasopharyngeal cancer
Change of voice,Diphtheria
Chest pain,SVT
Chest pain,Heart attack
Chest pain,Pericarditis
Chest pain on physical effort,Angina pectoris
Chest pain on physical effort,Pulmonary Embolism
"Chest pain, worse on breathing in",Pulmonary Embolism
"Chest pain, worse on breathing in",Costochondritis
Chest tightness,Heart attack
Chest tightness,Asthma Attack
Chest tightness,Acid reflux
Chest tightness,Asthma
Cloudy urine,Urinary tract infection in children
Cloudy urine,Cystitis
Confused or muddled,Aneurysm
Confused or muddled,Alzheimer's disease
Confused or muddled,Encephalitis
Confused or muddled,Major head injury
Confused or muddled,Subdural hemorrhage
Confusion which is new,Alcohol poisoning
Confusion which is new,Encephalitis
Confusion which is new,Epilepsy
Confusion which is new,Major head injury
Confusion which is new,Aneurysm
Constipation,Typhoid fever
Constipation,Irritable bowel syndrome
Constipation,Constipation
Constipation,Under-active Thyroid
"Continuous, unexplained weight loss",Overactive Thyroid
"Continuous, unexplained weight loss",Breast Cancer
"Continuous, unexplained weight loss",Gluten Intolerance
"Continuous, unexplained weight loss",Stomach Cancer
"Continuous, unexplained weight loss",Non-Hodgkin's lymphoma
"Continuous, unexplained weight loss",Crohn's disease
"Continuous, unexplained weight loss",Lung cancer
"Continuous, unexplained weight loss",Type 2 diabetes
"Continuous, unexplained weight loss",Bladder Cancer
"Continuous, unexplained weight loss",TB
Cough,Lung cancer
Cough,TB
Cough,Croup
Cough,Chest infection
Cough,Rubella
Cough,Roseola
Cough,Asthma
Cough,Tonsillitis
Cough,Granulomatosis with polyangiitis
Cough which produces mucus,Chest infection
Cough which produces mucus,Bronchiectasis
Cough which produces mucus,Acute heart failure
Cough which produces mucus,Acute exacerbation of COPD
Cough which produces mucus,Bronchitis
Cough which produces mucus,Chronic obstructive lung disease
Cough which produces mucus,Congestive heart failure
Cough which produces mucus,Cystic fibrosis
Diarrhoea,Gastroenteritis
Diarrhoea,Irritable bowel syndrome
Diarrhoea,Bowel Cancer
Diarrhoea,Lactose intolerance
Diarrhoea,Crohn's disease
Diarrhoea,Ulcerative colitis
