symptom,disease
"Abdominal Pain Spreading To Shoulder Blade, Right Sided Abdominal Pain, Upper Abdominal Pain, Vomiting, Sweating, Feeling Sick Nausea and Loss Of Appetite",Acute Cholecystitis
"Abdominal Pain Spreading To Shoulder Blade, Right Sided Abdominal Pain, Upper Abdominal Pain, Vomiting, Sweating, Feeling Sick Nausea and Loss Of Appetite",Gallstone
"Abdominal Pain Worse On Pressing, Right Sided Abdominal Pain, Vomiting, Feeling Sick Nausea, High Temperature and Loss Of Appetite",Appendicitis
"Abdominal Pain Worse On Pressing, Right Sided Abdominal Pain, Vomiting, Feeling Sick Nausea, High Temperature and Loss Of Appetite",Acute Cholecystitis
Abdominal pain,Crohn's disease
Abdominal pain,Henoch-Schönlein purpura
Abdominal pain,Constipation
Abdominal pain,Typhoid fever
Abdominal pain,Gluten Intolerance
Abdominal pain,Irritable bowel syndrome
Abdominal pain,Ulcerative colitis
Abdominal pain,Bowel Cancer
Abdominal pain after eating,Lactose intolerance
Abdominal pain after eating,Irritable bowel syndrome
Abdominal pain after eating,Gallstone
Abdominal pain after eating,Acid reflux
Abdominal pain and Bloody diarrhoea,Crohn's disease
Abdominal pain and Bloody diarrhoea,Ulcerative colitis
Abdominal pain and Change in bowel habit,Ulcerative colitis
Abdominal pain and Change in bowel habit,Bowel Cancer
Abdominal pain and Change in bowel habit,Irritable bowel syndrome
Abdominal pain and Change in bowel habit,Crohn's disease
Abdominal pain and Constipation,Constipation
Abdominal pain and Constipation,Typhoid fever
Abdominal pain and Constipation,Irritable bowel syndrome
"Abdominal pain and Continuous, unexplained weight loss",Crohn's disease
"Abdominal pain and Continuous, unexplained weight loss",Gluten Intolerance
Abdominal pain and Diarrhoea,Ulcerative colitis
Abdominal pain and Diarrhoea,Crohn's disease
Abdominal pain and Diarrhoea,Typhoid fever
Abdominal pain and Diarrhoea,Irritable bowel syndrome
Abdominal pain and Diarrhoea,Bowel Cancer
Abdominal pain and Diarrhoea,Gluten Intolerance
Abdominal pain and High temperature,Henoch-Schönlein purpura
Abdominal pain and High temperature,Typhoid fever
Abdominal pain and Mucus in stool or  poo,Crohn's disease
Abdominal pain and Mucus in stool or  poo,Ulcerative colitis
Abdominal pain and Passing excessive wind,Irritable bowel syndrome
Abdominal pain and Passing excessive wind,Gluten Intolerance
Abdominal pain and Stomach cramps,Constipation
Abdominal pain and Stomach cramps,Crohn's disease
Abdominal pain and Stomach cramps,Irritable bowel syndrome
Abdominal pain and Unable to completely empty bowels,Constipation
Abdominal pain and Unable to completely empty bowels,Ulcerative colitis
Abdominal pain and Unusually tired,Typhoid fever
Abdominal pain and Unusually tired,Crohn's disease
Abdominal pain and Unusually tired,Ulcerative colitis
Abdominal pain and Unusually tired,Gluten Intolerance
Abdominal pain spreading to shoulder blade,Acute cholecystitis
Abdominal pain spreading to shoulder blade,Inflammation of pancreas
Abdominal pain spreading to shoulder blade and Abdominal pain worse on coughing,Acute cholecystitis
Abdominal pain spreading to shoulder blade and Abdominal pain worse on coughing,Inflammation of pancreas
Abdominal pain worse on coughing,Appendicitis
Abdominal pain worse on coughing,Acute cholecystitis
Abdominal pain worse on coughing,Diverticulitis
Abdominal pain worse on coughing,Inflammation of pancreas
"Abdominal pain, Bloody diarrhoea and Change in bowel habit",Crohn's disease
"Abdominal pain, Bloody diarrhoea and Change in bowel habit",Ulcerative colitis
"Abdominal pain, Bloody diarrhoea and Mucus in stool or  poo",Ulcerative colitis
"Abdominal pain, Bloody diarrhoea and Mucus in stool or  poo",Crohn's disease
"Abdominal pain, Bloody diarrhoea and Unusually tired",Ulcerative colitis
"Abdominal pain, Bloody diarrhoea and Unusually tired",Crohn's disease
"Abdominal pain, Change in bowel habit and Stomach cramps",Irritable bowel syndrome
"Abdominal pain, Change in bowel habit and Stomach cramps",Crohn's disease
"Abdominal pain, Change in bowel habit and Unusually tired",Ulcerative colitis
"Abdominal pain, Change in bowel habit and Unusually tired",Crohn's disease
"Abdominal pain, Constipation and Diarrhoea",Typhoid fever
"Abdominal pain, Constipation and Diarrhoea",Irritable bowel syndrome
"Abdominal pain, Constipation and Stomach cramps",Irritable bowel syndrome
"Abdominal pain, Constipation and Stomach cramps",Constipation
"Abdominal pain, Diarrhoea and Bloody diarrhoea",Ulcerative colitis
"Abdominal pain, Diarrhoea and Bloody diarrhoea",Crohn's disease
"Abdominal pain, Diarrhoea and Change in bowel habit",Ulcerative colitis
"Abdominal pain, Diarrhoea and Change in bowel habit",Crohn's disease
"Abdominal pain, Diarrhoea and Change in bowel habit",Irritable bowel syndrome
"Abdominal pain, Diarrhoea and Change in bowel habit",Bowel Cancer
"Abdominal pain, Diarrhoea and Continuous, unexplained weight loss",Crohn's disease
"Abdominal pain, Diarrhoea and Continuous, unexplained weight loss",Gluten Intolerance
"Abdominal pain, Diarrhoea and Mucus in stool or  poo",Crohn's disease
"Abdominal pain, Diarrhoea and Mucus in stool or  poo",Ulcerative colitis
"Abdominal pain, Diarrhoea and Passing excessive wind",Gluten Intolerance
"Abdominal pain, Diarrhoea and Passing excessive wind",Irritable bowel syndrome
"Abdominal pain, Diarrhoea and Stomach cramps",Irritable bowel syndrome
"Abdominal pain, Diarrhoea and Stomach cramps",Crohn's disease
"Abdominal pain, Diarrhoea and Unusually tired",Ulcerative colitis
"Abdominal pain, Diarrhoea and Unusually tired",Typhoid fever
"Abdominal pain, Diarrhoea and Unusually tired",Gluten Intolerance
"Abdominal pain, Diarrhoea and Unusually tired",Crohn's disease
"Abdominal pain, Mucus in stool or  poo and Change in bowel habit",Crohn's disease
"Abdominal pain, Mucus in stool or  poo and Change in bowel habit",Ulcerative colitis
"Abdominal pain, Mucus in stool or  poo and Unusually tired",Ulcerative colitis
"Abdominal pain, Mucus in stool or  poo and Unusually tired",Crohn's disease
"Abdominal pain, Unusually tired and Continuous, unexplained weight loss",Gluten Intolerance
"Abdominal pain, Unusually tired and Continuous, unexplained weight loss",Crohn's disease
Aching muscles all over body,Peripheral Artery Disease
Aching muscles all over body,Glandular Fever
Aching muscles all over body,Polymyalgia rheumatica
Aching muscles all over body,Fibromyalgia
Aching muscles all over body,Malaria
Aching muscles all over body,Chronic fatigue syndrome
Aching muscles all over body and Unusually tired,Malaria
Aching muscles all over body and Unusually tired,Polymyalgia rheumatica
Aching muscles all over body and Unusually tired,Chronic fatigue syndrome
Aching muscles all over body and Unusually tired,Glandular Fever
Aching muscles all over body and Unusually tired,Fibromyalgia
Affected joint feels warm,Bacterial arthritis
Affected joint feels warm,Gout
Affected joint feels warm and Pain in one joint,Gout
Affected joint feels warm and Pain in one joint,Bacterial arthritis
Affected joint feels warm and Single joint stiffness,Gout
Affected joint feels warm and Single joint stiffness,Bacterial arthritis
Affected joint feels warm and Single swollen joint,Gout
Affected joint feels warm and Single swollen joint,Bacterial arthritis
"Affected joint feels warm, Pain in one joint and Single joint stiffness",Bacterial arthritis
"Affected joint feels warm, Pain in one joint and Single joint stiffness",Gout
"Affected joint feels warm, Pain in one joint and Single swollen joint",Gout
"Affected joint feels warm, Pain in one joint and Single swollen joint",Bacterial arthritis
"Affected joint feels warm, Single swollen joint and Single joint stiffness",Gout
"Affected joint feels warm, Single swollen joint and Single joint stiffness",Bacterial arthritis
Anal lump,Piles
Anal lump,Anal Cancer
Anxiety,Claustrophobia
Anxiety,PTSD
Anxiety,Panic disorder
Anxiety,Fear of open spaces
Anxiety,Anxiety
Anxiety and Fast or shallow breathing,Fear of open spaces
Anxiety and Fast or shallow breathing,Panic disorder
Anxiety and Feeling heart beat,Fear of open spaces
Anxiety and Feeling heart beat,Claustrophobia
Anxiety and Feeling heart beat,Anxiety
